TRIP_ID,VENDOR_ID,PICKUP_DATETIME,DROPOFF_DATETIME,PASSENGER_COUNT,TRIP_DISTANCE,PU_LOCATION_ID,DO_LOCATION_ID,RATE_CODE_ID,STORE_AND_FWD_FLAG,PAYMENT_TYPE,FARE_AMOUNT,SURCHARGE,TOLLS_AMOUNT,TIP_AMOUNT,TOTAL_AMOUNT
2007351,4,2019-05-01 23:51:00,2019-05-02 00:00:00,2,2.82,1,163,1,Y,1,14.05,0.5,0,0.0,14.55
2007352,3,2019-05-01 08:22:00,2019-05-01 08:52:00,3,2.47,148,229,1,Y,1,23.68,0.5,0,5.21,29.39
2007353,2,2019-05-01 15:07:00,2019-05-01 15:18:00,1,2.08,87,236,1,Y,2,13.2,0.3,0,0.0,13.5
2007354,1,2019-05-01 16:10:00,2019-05-01 16:46:00,1,0.8,161,113,4,Y,1,22.5,2.5,6.12,3.38,34.5
2007355,2,2019-05-01 16:49:00,2019-05-01 17:07:00,1,2.44,243,244,2,Y,2,52.0,0.5,0,0.0,63.94
2007356,3,2019-05-01 19:13:00,2019-05-01 19:31:00,1,11.32,246,79,1,N,2,39.8,0.3,0,0.0,40.1
2007357,2,2019-05-01 04:16:00,2019-05-01 04:42:00,3,12.75,74,100,1,Y,2,47.38,0.5,0,0.0,47.88
2007358,1,2019-05-01 16:26:00,2019-05-01 16:31:00,1,13.76,244,144,1,Y,2,39.4,0.5,6.12,0.0,55.87
2007359,1,2019-05-01 15:07:00,2019-05-01 15:11:00,1,8.37,243,243,1,Y,1,25.42,0.3,0,0.0,25.72
2007360,2,2019-05-01 02:36:00,2019-05-01 02:51:00,3,2.09,152,163,1,Y,2,15.22,0.3,8.5,0.0,27.06
2007361,1,2019-05-01 16:45:00,2019-05-01 16:53:00,2,12.49,209,75,1,Y,2,37.73,0.5,0,0.0,47.66
2007362,2,2019-05-01 12:42:00,2019-05-01 13:00:00,2,2.6,261,249,1,Y,1,18.0,2.5,5.76,3.6,29.86
2007363,2,2019-05-01 15:19:00,2019-05-01 15:55:00,1,13.97,41,45,1,Y,1,55.43,1.0,15.0,0.0,71.43
2007364,3,2019-05-01 16:02:00,2019-05-01 16:17:00,1,13.43,170,88,1,Y,1,43.58,0.5,0,10.89,54.97
2007365,4,2019-05-01 19:04:00,2019-05-01 19:27:00,2,10.55,43,209,1,Y,2,40.38,2.5,0,0.0,42.88
2007366,1,2019-05-01 13:09:00,2019-05-01 13:27:00,1,13.35,239,163,1,N,1,44.88,2.5,0,0.0,47.38
2007367,1,2019-05-01 18:15:00,2019-05-01 18:22:00,1,10.6,13,234,6,Y,4,32.5,0.5,0,7.15,40.15
2007368,1,2019-05-01 21:07:00,2019-05-01 21:48:00,1,11.68,127,50,1,Y,2,52.2,1.0,0,0.0,61.03
2007369,2,2019-05-01 13:11:00,2019-05-01 13:37:00,1,12.51,246,230,1,Y,2,46.77,0.5,0,0.0,47.27
2007370,4,2019-05-01 05:07:00,2019-05-01 05:49:00,1,6.49,141,100,1,Y,1,39.73,0.3,0,7.95,47.98
2007371,3,2019-05-01 06:40:00,2019-05-01 07:06:00,4,1.12,152,75,1,Y,1,18.3,0.5,0,0.0,18.8
2007372,2,2019-05-01 19:45:00,2019-05-01 19:49:00,4,5.54,87,7,1,Y,1,18.35,0.5,0,3.67,22.52
2007373,1,2019-05-01 03:48:00,2019-05-01 04:13:00,1,2.43,128,4,1,N,1,21.07,2.5,0,0.0,23.57
2007374,4,2019-05-01 19:04:00,2019-05-01 19:49:00,1,8.39,75,144,2,N,1,52.0,2.5,0,13.0,67.5
2007375,2,2019-05-01 10:22:00,2019-05-01 10:48:00,1,13.43,246,166,5,Y,1,49.08,1.0,8.5,0.0,58.58
2007376,4,2019-05-01 14:58:00,2019-05-01 15:31:00,6,4.52,229,161,1,N,1,30.3,0.3,15.0,0.0,45.6
2007377,3,2019-05-01 22:03:00,2019-05-01 22:25:00,3,9.5,113,74,1,Y,1,37.25,0.5,0,0.0,37.75
2007378,2,2019-05-01 20:49:00,2019-05-01 21:04:00,1,2.51,42,24,1,Y,1,16.27,1.0,11.75,3.25,32.27
2007379,3,2019-05-01 09:43:00,2019-05-01 10:07:00,2,10.19,261,261,1,Y,1,39.97,0.5,11.75,7.99,60.21
2007380,2,2019-05-01 10:08:00,2019-05-01 10:16:00,1,9.12,4,229,1,Y,1,29.3,1.0,0,0.0,30.3
2007381,3,2019-05-01 19:30:00,2019-05-01 20:08:00,1,14.3,107,246,1,Y,2,57.25,2.5,11.75,0.0,84.1
2007382,1,2019-05-01 19:04:00,2019-05-01 19:48:00,2,14.18,127,12,1,Y,2,59.95,0.5,15.0,0.0,90.44
2007383,1,2019-05-01 18:41:00,2019-05-01 19:23:00,2,13.67,41,224,3,N,1,86.5,2.5,8.5,0.0,97.5
2007384,2,2019-05-01 22:15:00,2019-05-01 22:35:00,1,9.82,1,264,1,N,1,37.05,1.0,0,6.67,44.72
2007385,1,2019-05-01 09:21:00,2019-05-01 09:59:00,2,6.47,87,161,1,N,4,37.67,0.5,15.0,6.78,59.95
2007386,2,2019-05-01 18:29:00,2019-05-01 19:14:00,1,1.1,209,114,1,Y,2,27.75,1.0,5.76,0.0,34.51
2007387,1,2019-05-01 17:09:00,2019-05-01 17:24:00,4,1.67,142,236,1,Y,3,14.18,1.0,0,0.0,15.18
2007388,4,2019-05-01 15:41:00,2019-05-01 15:49:00,1,7.74,261,261,1,N,2,25.85,2.5,6.12,0.0,34.47
2007389,2,2019-05-01 11:26:00,2019-05-01 11:32:00,2,11.97,88,158,2,Y,1,52.0,0.5,0,0.0,52.5
2007390,1,2019-05-01 15:35:00,2019-05-01 16:06:00,2,6.91,243,209,1,N,1,35.27,0.3,0,7.05,42.62
2007391,2,2019-05-01 14:30:00,2019-05-01 14:57:00,1,6.95,45,142,1,Y,2,33.38,1.0,11.75,0.0,53.47
2007392,1,2019-05-01 00:46:00,2019-05-01 00:56:00,1,12.21,231,143,1,N,2,38.03,2.5,0,0.0,40.53
2007393,2,2019-05-01 17:03:00,2019-05-01 17:08:00,6,14.88,143,148,1,Y,1,42.2,2.5,6.12,10.55,61.37
2007394,2,2019-05-01 15:48:00,2019-05-01 16:28:00,1,2.3,143,144,1,Y,1,28.25,2.5,0,7.06,37.81
2007395,2,2019-05-01 12:12:00,2019-05-01 12:20:00,1,6.7,151,158,1,Y,1,23.25,0.3,5.76,4.65,33.96
2007396,2,2019-05-01 08:56:00,2019-05-01 09:36:00,1,12.3,234,13,1,Y,1,53.25,1.0,15.0,13.31,82.56
2007397,2,2019-05-01 11:35:00,2019-05-01 12:05:00,1,10.4,244,88,1,Y,1,43.5,2.5,5.76,9.57,61.33
2007398,3,2019-05-01 08:49:00,2019-05-01 08:57:00,1,9.06,164,107,1,Y,2,29.15,0.5,6.12,0.0,43.06
2007399,4,2019-05-01 20:23:00,2019-05-01 20:27:00,1,3.93,114,143,6,Y,2,14.33,0.3,0,0.0,16.78
2007400,1,2019-05-01 05:55:00,2019-05-01 06:40:00,1,4.21,48,45,1,Y,2,35.52,1.0,0,0.0,36.52
2007401,2,2019-05-01 17:00:00,2019-05-01 17:32:00,1,7.05,161,90,1,Y,2,36.12,1.0,5.76,0.0,42.88
2007402,1,2019-05-01 19:33:00,2019-05-01 20:08:00,1,6.5,234,234,1,Y,1,36.25,0.3,0,9.06,45.61
2007403,2,2019-05-01 09:18:00,2019-05-01 09:21:00,2,5.93,142,100,1,Y,1,18.82,2.5,8.5,0.0,29.82
2007404,2,2019-05-01 01:09:00,2019-05-01 01:12:00,1,13.45,144,4,1,Y,2,37.62,0.3,8.5,0.0,53.94
2007405,1,2019-05-01 17:28:00,2019-05-01 17:55:00,1,11.35,144,143,1,Y,1,44.38,0.3,8.5,0.0,53.18
2007406,2,2019-05-01 07:28:00,2019-05-01 07:55:00,4,4.34,90,164,1,Y,1,26.85,0.5,8.5,4.03,39.88
2007407,2,2019-05-01 21:02:00,2019-05-01 21:28:00,1,2.82,186,166,1,N,1,22.55,0.3,15.0,5.64,43.49
2007408,1,2019-05-01 07:27:00,2019-05-01 08:00:00,1,12.81,148,127,1,Y,2,51.02,0.5,0,0.0,51.52
2007409,2,2019-05-01 10:03:00,2019-05-01 10:12:00,1,2.52,164,246,1,Y,2,13.3,1.0,0,0.0,16.3
2007410,3,2019-05-01 13:36:00,2019-05-01 13:42:00,1,2.57,229,236,1,N,1,11.93,0.3,0,1.79,14.02
